2017,,,,,,,,,2018,,,,,,,,,2019,,,,,,,
Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Hour,,Day Order,Season,Day of Week,Period,Time,Date,Column1,Column2
300,3,5,3,16.3652,10/27/2017,12,12:00 PM,,303,3,2,3,10.2928,10/30/2018,12,12:00 PM,,317,3,3,3,15.6108,11/13/2019,12,12:00 PM
319,3,3,4,12.4738,11/15/2017,15,3:00 PM,,309,3,1,1,12.4931,11/5/2018,6,6:00 AM,,318,3,4,3,14.701,11/14/2019,12,12:00 PM
328,3,5,3,15.3918,11/24/2017,12,12:00 PM,,309,3,1,4,16.5791,11/5/2018,15,3:00 PM,,325,3,4,4,12.2569,11/21/2019,15,3:00 PM
328,3,5,2,17.4677,11/24/2017,9,9:00 AM,,310,3,2,2,7.95591,11/6/2018,9,9:00 AM,,326,3,5,1,10.1313,11/22/2019,6,6:00 AM
332,3,2,2,13.8726,11/28/2017,9,9:00 AM,,311,3,3,1,14.6568,11/7/2018,6,6:00 AM,,326,3,5,1,13.4355,11/22/2019,6,6:00 AM
336,3,6,1,14.1321,12/2/2017,6,6:00 AM,,312,3,4,1,8.81691,11/8/2018,6,6:00 AM,,329,3,1,3,13.1581,11/25/2019,12,12:00 PM
339,3,2,3,6.99606,12/5/2017,12,12:00 PM,,313,3,5,4,9.51514,11/9/2018,15,3:00 PM,,329,3,1,4,14.8801,11/25/2019,15,3:00 PM
339,3,2,1,11.356,12/5/2017,6,6:00 AM,,316,3,1,3,11.1527,11/12/2018,12,12:00 PM,,332,3,4,2,11.1538,11/28/2019,9,9:00 AM
339,3,2,1,11.9624,12/5/2017,6,6:00 AM,,317,3,2,2,14.9544,11/13/2018,9,9:00 AM,,333,3,5,1,13.8435,11/29/2019,6,6:00 AM
341,3,4,4,15.8087,12/7/2017,15,3:00 PM,,319,3,4,3,8.45495,11/15/2018,12,12:00 PM,,334,3,6,3,7.25253,11/30/2019,12,12:00 PM
343,3,6,3,11.8868,12/9/2017,12,12:00 PM,,320,3,5,3,12.0667,11/16/2018,12,12:00 PM,,334,3,6,2,12.9064,11/30/2019,9,9:00 AM
346,3,2,2,12.8003,12/12/2017,9,9:00 AM,,323,3,1,4,14.8468,11/19/2018,15,3:00 PM,,338,3,3,4,12.5251,12/4/2019,15,3:00 PM
349,3,5,1,15.6747,12/15/2017,6,6:00 AM,,323,3,1,3,15.6365,11/19/2018,12,12:00 PM,,338,3,3,3,14.4826,12/4/2019,12,12:00 PM
350,3,6,3,7.03568,12/16/2017,12,12:00 PM,,326,3,4,3,8.17653,11/22/2018,12,12:00 PM,,339,3,4,3,8.57561,12/5/2019,12,12:00 PM
350,3,6,2,12.8239,12/16/2017,9,9:00 AM,,326,3,4,3,11.5362,11/22/2018,12,12:00 PM,,344,3,2,2,9.41114,12/10/2019,9,9:00 AM
353,3,2,2,14.0066,12/19/2017,9,9:00 AM,,327,3,5,1,16.023,11/23/2018,6,6:00 AM,,344,3,2,1,10.9749,12/10/2019,6,6:00 AM
353,3,2,2,16.3044,12/19/2017,9,9:00 AM,,342,3,6,1,14.3726,12/8/2018,6,6:00 AM,,344,3,2,3,11.593,12/10/2019,12,12:00 PM
354,3,3,1,10.8097,12/20/2017,6,6:00 AM,,345,3,2,1,7.8392,12/11/2018,6,6:00 AM,,344,3,2,3,12.7422,12/10/2019,12,12:00 PM
